"branch_id","plant_id","plant_num","orientation","farmer","plot_id","plot_type","fert_trt","shd_trt","per_thin","n1i_tot_len","n1i_new_len","n1i_diam","n1i_tot_nod","n1i_new_nod","n1i_frtd_nod","n1i_frt","n1i_tot_lvs","n1i_sick_lvs","n1i_sick_type","n1i_pot_nod","n1i_frt_pot_nod","potnod_v_frtnod","n1i_ffnod","n1h_tot_len","n1h_new_len","n1h_diam","n1h_tot_nod","n1h_new_nod","n1h_frtd_nod","n1h_frt","n1h_tot_lvs","n1h_sick_lvs","n1h_sick_type","n1_anth","n1_lat","n1_dens","plot_thin"
"1692","159","71","W","Miguel","X8","lsun","l","sun","0",27,8.5,4,13,6,7,16,9,0,"na",7,2.285714286,0,2.285714286,39,22,5,19,12,4,8,11,4,"r","n",0,64.5,"0 lsun"
"1693","160","72","N","Miguel","X8","lsun","l","sun","0",33,15.5,5,16,9,3,7,7,0,"na",7,1,4,2.333333333,34,23,3.5,15,11,2,3,0,0,"na","y",0,105,"0 lsun"
"1694","160","72","S","Miguel","X8","lsun","l","sun","0",27,8,3.5,12,5,7,52,12,1,"u",7,7.428571429,0,7.428571429,32.5,13,4.5,18,10,8,52,12,4,"or","n",0,89,"0 lsun"
"1695","160","72","E","Miguel","X8","lsun","l","sun","0",30,6.5,4,14,5,9,62,12,0,"na",9,6.888888889,0,6.888888889,36,14.5,4.5,18,10,8,52,12,4,"or","n",0,70,"0 lsun"
"1696","160","72","W","Miguel","X8","lsun","l","sun","0",30,8,3.5,14,5,9,29,11,0,"na",9,3.222222222,0,3.222222222,34,14,4,17,8,7,20,14,6,"o","n",0,182.5,"0 lsun"
"1697","161","73","N","Miguel","X8","lsun","l","sun","66",24.5,7,4,10,4,6,31,10,2,"u",6,5.166666667,0,5.166666667,28.5,12,4.5,13,7,6,21,8,3,"u","n",0,89,"66 lsun"
"1698","161","73","S","Miguel","X8","lsun","l","sun","66",27.5,5.5,5,14,4,8,48,8,1,"u",10,4.8,2,6,28,6.5,4.5,14,5,7,30,4,1,"r","n",0,97,"66 lsun"
"1699","161","73","E","Miguel","X8","lsun","l","sun","66",20,5.5,4,8,3,4,22,4,0,"na",5,4.4,1,5.5,22.5,7.5,5.5,10,5,4,15,0,0,"na","n",0,131,"66 lsun"
"1700","161","73","W","Miguel","X8","lsun","l","sun","66",31,11.5,3,11,6,5,25,11,2,"u",5,5,0,5,40,22,4.5,13,8,5,21,7,2,"or","n",0,98,"66 lsun"
"1701","162","74","N","Miguel","X8","lsun","l","sun","0",22.5,4.5,3.5,10,3,6,24,6,0,"na",7,3.428571429,1,4,36,18.5,4,15,8,6,18,13,0,"na","n",0,106,"0 lsun"
"1702","162","74","S","Miguel","X8","lsun","l","sun","0",33,7,4,12,5,7,47,11,2,"u",7,6.714285714,0,6.714285714,32,8,4,11,7,4,34,0,0,"na","y",0,98,"0 lsun"
"1703","162","74","E","Miguel","X8","lsun","l","sun","0",27,10,4,9,3,6,24,7,1,"u",6,4,0,4,26,9,4,10,5,5,22,2,0,"na","n",0,91,"0 lsun"
"1704","162","74","W","Miguel","X8","lsun","l","sun","0",26,8,4,10,5,5,24,6,0,"na",5,4.8,0,4.8,30,13,4.5,12,7,5,23,7,0,"na","n",0,129,"0 lsun"
"1705","163","75","N","Miguel","X8","lsun","l","sun","33",37,19.5,4.5,14,9,3,7,10,1,"u",5,1.4,2,2.333333333,47,31,4.5,17,12,3,7,6,4,"or","n",1,91.5,"33 lsun"
"1706","163","75","S","Miguel","X8","lsun","l","sun","33",28,12.5,4,10,6,2,3,6,0,"na",4,0.75,2,1.5,39.5,24,4,15,11,1,1,8,4,"or","n",1,91,"33 lsun"
"1707","163","75","E","Miguel","X8","lsun","l","sun","33",37,8.5,4,13,5,4,8,7,0,"na",8,1,4,2,38.5,10.5,4.5,16,8,2,2,3,0,"na","n",0,62,"33 lsun"
"1708","163","75","W","Miguel","X8","lsun","l","sun","33",22,5.5,3,8,4,4,5,7,0,"na",4,1.25,0,1.25,35.5,23,5,13,10,3,5,8,4,"or","n",0,153,"33 lsun"
"1709","164","76","N","Miguel","X8","lsun","l","sun","33",20.5,4.5,4,12,3,8,43,7,1,"u",9,4.777777778,1,5.375,19,4,4,12,4,7,21,0,0,"na","y",0,62,"33 lsun"
"1710","164","76","S","Miguel","X8","lsun","l","sun","33",18,7,5,12,6,3,12,6,1,"u",6,2,3,4,15.5,4.5,4,9,3,2,7,0,0,"na","n",0,80,"33 lsun"
"1711","164","76","E","Miguel","X8","lsun","l","sun","33",13.5,8.5,3.5,7,5,2,11,8,1,"u",2,5.5,0,5.5,19,14,3,10,8,2,9,6,3,"ou","n",0,101,"33 lsun"
"1712","164","76","W","Miguel","X8","lsun","l","sun","33",26,6,4,15,5,6,38,10,0,"na",10,3.8,4,6.333333333,34,13.5,4.5,18,9,6,25,10,5,"ou","n",1,272,"33 lsun"
"1713","165","77","N","Miguel","X8","lsun","l","sun","0",24,7,6,11,5,5,22,5,1,"u",6,3.666666667,1,4.4,26,11,4,13,7,5,21,6,3,"o","n",0,78,"0 lsun"
"1714","165","77","S","Miguel","X8","lsun","l","sun","0",20,8,4,9,6,3,13,5,1,"u",3,4.333333333,0,4.333333333,36,17.5,4.5,15,10,5,10,15,1,"r","n",0,80,"0 lsun"
