branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1h_len,e1h_tot_nod,e1h_frt_nod,e1h_tot_fruit,e1h_tot_lvs,e2f_len,e2f_tot_nod,e2f_flor_nod,e2f_buds,e2f_lvs,e2i_len,e2i_tot_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2h_len,e2h_tot_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs
103,26,26,E,Fernando,X2,lshd,l,shd,66,27,9,4,43,19,13,26.5,9,2,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
104,26,26,W,Fernando,X2,lshd,l,shd,66,26,8,4,56,30,13,27,9,2,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
105,27,27,N,Fernando,X2,lshd,l,shd,0,35,9,5,NA,46,16,39.5,13,4,41,13,40.5,13,9,25,8,47,17,8,23,11,63.5,23,8,15,15
106,27,27,S,Fernando,X2,lshd,l,shd,0,36.5,10,5,NA,64,13,50,16,5,45,20,50.5,16,11,107,1,59,20,12,102,15,61,22,9,75,13
107,27,27,E,Fernando,X2,lshd,l,shd,0,37,10,6,NA,79,17,46,14,5,66,19,46.5,14,7,43,7,53,19,7,26,10,68,24,8,18,16
108,27,27,W,Fernando,X2,lshd,l,shd,0,30,9,3,NA,34,18,55,16,3,29,26,55.5,16,12,155,13,62,20,13,155,12,58,21,13,111,13
109,28,28,N,Fernando,X2,lshd,l,shd,0,24,6,3,NA,5,11,37,12,2,3,12,38,12,11,97,8,46,16,9,93,12,46.5,17,7,34,11
110,28,28,S,Fernando,X2,lshd,l,shd,0,35.5,10,4,NA,26,14,50,15,4,45,16,49.5,15,12,157,8,57,20,12,139,13,58,19,12,90,10
111,28,28,E,Fernando,X2,lshd,l,shd,0,37,9,4,NA,12,18,45,12,2,6,15,45,13,9,106,9,50.5,15,9,97,9,50,16,8,40,7
112,28,28,W,Fernando,X2,lshd,l,shd,0,34.5,10,4,NA,25,15,42,13,4,23,9,46,13,9,91,5,49,17,9,91,9,49,19,9,49,8
113,29,29,N,Fernando,X2,lshd,l,shd,66,38,11,7,27,9,18,42,12,2,6,17,43.5,13,6,21,11,43,15,6,19,12,43,16,4,6,11
114,29,29,S,Fernando,X2,lshd,l,shd,66,44.5,13,8,47,18,12,62,17,3,19,17,62,17,10,126,7,69,22,9,99,10,64,22,8,46,7
115,29,29,E,Fernando,X2,lshd,l,shd,66,27,7,3,17,10,11,33,10,2,11,15,33.5,11,7,68,12,41.5,15,7,65,13,41,15,6,31,11
116,29,29,W,Fernando,X2,lshd,l,shd,66,49.5,14,9,58,24,15,61,17,3,25,17,62,19,10,109,10,69,21,10,99,14,69,23,9,40,12
117,30,30,N,Fernando,X2,lshd,l,shd,0,37,12,7,NA,71,12,37,12,7,47,4,37.5,12,0,0,0,37,12,0,0,0,46,20,3,3,10
118,30,30,S,Fernando,X2,lshd,l,shd,0,39,14,9,NA,93,17,39,14,8,60,12,40,12,1,1,3,28,9,0,0,0,28,9,0,0,0
119,30,30,E,Fernando,X2,lshd,l,shd,0,43.5,14,9,NA,111,16,44.5,15,9,90,10,45,15,3,4,1,52,20,3,4,6,53,20,1,1,6
120,30,30,W,Fernando,X2,lshd,l,shd,0,32.5,11,8,NA,47,12,34,13,7,27,10,37,12,5,7,6,43,18,4,6,8,26,7,0,0,0
121,31,31,N,Fernando,X2,lshd,l,shd,0,37,14,9,NA,55,13,37,11,5,39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
122,31,31,S,Fernando,X2,lshd,l,shd,0,38.5,12,8,NA,143,17,44.5,14,7,60,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
123,31,31,E,Fernando,X2,lshd,l,shd,0,44.5,15,9,NA,130,21,47,15,9,64,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
124,31,31,W,Fernando,X2,lshd,l,shd,0,23.5,10,6,NA,43,15,28,11,6,26,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,na,na,na,na
125,32,32,N,Fernando,X2,lshd,l,shd,66,52.5,18,13,61,23,14,63,21,3,9,4,60,21,2,5,0,63,24,2,14,3,65,27,0,0,5
126,32,32,S,Fernando,X2,lshd,l,shd,66,50,17,13,59,23,11,52,17,4,20,10,52,16,5,45,3,56,16,4,20,3,49,20,2,3,0
127,32,32,E,Fernando,X2,lshd,l,shd,66,25,14,9,42,20,15,60,18,2,13,11,57,18,12,118,2,58,18,17,105,2,na,na,na,na,na
128,32,32,W,Fernando,X2,lshd,l,shd,66,24.5,8,5,16,8,7,25.5,9,1,5,2,25.5,9,3,8,0,27,9,0,0,0,57,20,6,6,0
129,33,33,N,Fernando,X2,lshd,l,shd,66,24,10,3,11,3,14,39,15,0,0,8,40,16,13,160,1,43,20,13,115,4,43,18,11,48,1
130,33,33,S,Fernando,X2,lshd,l,shd,66,22,8,3,21,5,12,32,13,1,5,5,34,13,7,39,3,35.5,18,7,35,7,43.5,22,6,26,8
131,33,33,E,Fernando,X2,lshd,l,shd,66,28,11,5,51,25,13,46,16,2,23,13,47,18,13,165,4,49,21,17,159,9,52,22,11,87,9
132,33,33,W,Fernando,X2,lshd,l,shd,66,28,10,5,21,9,10,35,13,1,6,2,33,12,3,19,1,27,6,2,10,0,32,13,2,9,9
133,34,34,N,Fernando,X2,lshd,l,shd,0,39,13,8,NA,76,11,45,17,8,58,14,48,16,3,5,6,47.5,21,3,5,7,52,21,3,4,9
134,34,34,S,Fernando,X2,lshd,l,shd,0,32,11,6,NA,60,12,40,14,5,55,14,40.5,14,4,7,6,44,18,4,7,8,54,21,3,5,14
135,34,34,E,Fernando,X2,lshd,l,shd,0,21,11,6,NA,33,12,36,14,6,25,0,33.5,13,0,0,0,NA,NA,NA,NA,NA,na,na,na,na,na
136,34,34,W,Fernando,X2,lshd,l,shd,0,22.5,9,4,NA,25,15,36,15,4,33,17,36,14,9,39,6,40,18,10,38,8,40,19,9,26,9
137,35,35,N,Fernando,X2,lshd,l,shd,33,52.5,15,10,132,91,16,70,21,7,68,20,70,21,9,53,13,74,25,9,36,14,75,23,9,23,13
138,35,35,S,Fernando,X2,lshd,l,shd,33,25,9,4,52,39,16,47,15,3,25,23,47.5,16,7,53,18,52,18,8,55,13,52,18,8,45,16
