branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,e1i_len,e1i_tot_nod,e1i_pot_nod,e1i_new_nod,e1i_pre_frt,e1i_post_frt,e1i_tot_lvs,e1i_sick_lvs,e1i_sick_id,e1_calc_per_thin,e1i_frt_pot_nod,e1h_len,e1h_tot_nod,e1h_new_nod,e1h_frt_nod,e1h_pot_nod,e1h_tot_fruit,e1h_tot_lvs,e1h_sick,e1h_sick_id,e1h_db_anth,e1h_anthrac,e1i_ht,e1h_ht,e1_ortho,e2f_length,e2f_lat,e2f_tot_nod,e2f_new_nod,e2f_flor_nod,e2f_buds,checkingbuds,e2f_lvs,e2f_sick,e2f_sick_id,e2f_anthrac,e2i_tot_len,e2i_new_len,e2i_diam,e2i_tot_nod,e2i_new_nod,e2i_frt_nod,e2i_frts,e2i_lvs,e2i_sick,e2i_sick_id,e2i_lat,e2i_db_anth,e2f_bud_nod ,e2i_ffnod,e2f_bud_nod_int ,e2h_tot_len,e2h_new_len,e2h_diam,e2h_tot_nod,e2h_new_nod,e2h_frtd_nod,e2h_frt,e2h_tot_lvs,e2h_sick_lvs,e2h_sick_type,e2h_anth,e2h_lat,
652,163,75,W,Miguel,X8,lsun,l,sun,33,31,13,7,6,86,73,12,3,O,15.11627907,10.42857143,34,13,6,5,7,63,1,0,NA,NA,NA,163,177,1,34,0,13,NA,0,0,0,1,1,O,N,35.5,0,5,15,0,0,0,7,0,na,0,0,0,0,0,46.50,0.00,5.00,21.00,0.00,0.00,0.00,7.00,1.00,O,3,,
653,164,76,N,Miguel,X8,lsun,l,sun,33,29,10,8,2,40,23,10,2,O,42.5,2.875,23,13,5,5,8,19,3,0,NA,NA,NA,191,195,3,23,0,13,1,5,9,4,3,1,U,N,25,5.5,4,19,6,1,1,4,0,na,0,0,1.8,1,2,27.00,0.00,4.50,21.00,0.00,0.00,0.00,3.00,2.00,O,,,
654,164,76,S,Miguel,X8,lsun,l,sun,33,24.5,11,7,4,28,15,11,2,U,46.42857143,2.142857143,35.5,18,12,5,6,10,4,2,O,0,N,191,195,3,34,3,17,1,10,56,46,5,3,U,N,39,4,4.5,19,4,9,50,8,1,u,3,0,5.6,5.555555556,6,40.00,7.00,6.00,23.00,7.00,7.00,30.00,1.00,1.00,U,4,,
655,164,76,E,Miguel,X8,lsun,l,sun,33,19.5,8,6,2,25,16,8,1,O,36,2.666666667,19.5,10,5,3,5,5,0,NA,NA,1,Y,191,195,3,21.5,1,10,2,2,4,2,0,NA,NA,Y,19.5,0,4,9,0,0,0,0,0,na,2,0,2,0,2,19.50,0.00,3.50,7.00,0.00,0.00,0.00,0.00,0.00,na ,an 1,,
656,164,76,W,Miguel,X8,lsun,l,sun,33,27,12,8,4,58,39,10,1,O,32.75862069,4.875,25.5,9,1,6,8,30,1,0,NA,NA,NA,191,195,3,26,0,10,NA,0,0,0,0,NA,NA,Y,25,0,4,10,0,0,0,0,0,na,0,1,0,0,0,na,na,na,na,na,na,na,na,na,na ,,,
657,165,77,N,Miguel,X8,lsun,l,sun,0,27.5,10,6,4,NA,44,1,1,U,NA,7.333333333,28,10,4,6,6,33,0,NA,NA,1,Y,179,196,5,28,0,9,NA,0,0,0,0,NA,NA,Y,19.5,0,4,9,0,0,0,0,0,na,0,1,0,0,0,26.50,0.00,4.00,9.00,0.00,0.00,0.00,0.00,0.00,na ,an,,
658,165,77,S,Miguel,X8,lsun,l,sun,0,30.5,11,7,4,NA,70,15,0,NA,NA,10,45.5,16,9,6,7,73,14,6,OR,0,N,179,196,5,43,3,17,1,7,30,23,3,1,U,N,48,5,6,20,4,7,24,11,0,na,3,0,4.285714286,3.428571429,4,55.00,12.00,6.00,25.00,8.00,5.00,23.00,12.00,3.00,O,5,,
659,165,77,E,Miguel,X8,lsun,l,sun,0,22,11,8,3,NA,42,6,1,U,NA,5.25,22,9,3,5,6,29,0,NA,NA,NA,NA,179,196,5,22,0,12,NA,0,0,0,0,NA,NA,Y,22,0,4,9,0,0,0,0,0,na,0,1,0,0,0,15.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,na ,an,,
660,165,77,W,Miguel,X8,lsun,l,sun,0,36.5,18,12,6,NA,80,10,2,O,NA,6.666666667,39.5,16,5,9,11,65,2,2,ORU,0,N,179,196,5,38,0,15,NA,0,0,0,0,NA,NA,Y,39,0,5,16,0,0,0,0,0,na,0,1,0,0,0,34.00,0.00,4.00,13.00,0.00,0.00,0.00,0.00,0.00,na ,an,,
661,166,78,N,Miguel,X8,lsun,l,sun,0,23,12,8,4,NA,23,11,1,R,NA,2.875,33,19,11,4,8,10,14,8,O,0,N,217,219,4,32.5,0,19,1,8,48,40,2,1,O,N,37,7.5,4,24,6,3,11,8,0,na,2,0,6,3.666666667,6,na,na,na,na,na,na,na,na,na,na ,,,
