branch_id,plant_id,plant_num,orientation,farmer,plot_id,plot_type,fert_trt,shd_trt,per_thin,n1i_tot_len,n1i_tot_nod,n1i_frtd_nod,n1i_frt,n1i_tot_lvs,n1h_tot_len,n1h_tot_nod,n1h_frtd_nod,n1h_frt,n1h_tot_lvs
1205,38,38,N,Fernando,X2,lshd,l,shd,33,38,15,9,168,12,44,18,9,122,10
1206,38,38,S,Fernando,X2,lshd,l,shd,33,41,16,11,142,14,41.5,17,10,125,4
1207,38,38,E,Fernando,X2,lshd,l,shd,33,38,15,10,117,11,39.5,17,10,100,3
1208,38,38,W,Fernando,X2,lshd,l,shd,33,38.5,15,10,139,14,42,19,10,139,6
1209,39,39,N,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210,39,39,S,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1211,39,39,E,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,39,39,W,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1213,40,40,N,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,40,40,S,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215,40,40,E,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,40,40,W,Fernando,X2,lshd,l,shd,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,41,41,N,Fernando,X2,lshd,l,shd,0,38.5,15,9,121,9,48,18,9,89,0
1218,41,41,S,Fernando,X2,lshd,l,shd,0,35.5,14,9,93,13,35.5,15,8,84,11
1219,41,41,E,Fernando,X2,lshd,l,shd,0,42.5,16,11,89,13,50,21,12,70,8
1220,41,41,W,Fernando,X2,lshd,l,shd,0,38.5,15,9,89,13,42,16,8,75,8
1221,42,42,N,Fernando,X2,lshd,l,shd,0,29.5,11,4,34,7,37,15,3,29,7
1222,42,42,S,Fernando,X2,lshd,l,shd,0,30,9,6,41,6,29,10,6,34,4
1223,42,42,E,Fernando,X2,lshd,l,shd,0,36,12,8,48,11,45,16,7,36,13
1224,42,42,W,Fernando,X2,lshd,l,shd,0,39,13,7,69,11,36,11,6,50,3
1225,43,43,N,Fernando,X2,lshd,l,shd,66,36,14,9,103,10,37,16,8,64,8
1226,43,43,S,Fernando,X2,lshd,l,shd,66,33.5,15,10,86,8,34,15,6,17,2
1227,43,43,E,Fernando,X2,lshd,l,shd,66,39,15,11,154,12,37.5,15,11,102,7
1228,43,43,W,Fernando,X2,lshd,l,shd,66,43,15,11,234,15,42,17,11,83,0
1229,44,44,N,Fernando,X2,lshd,l,shd,0,31,13,7,46,10,31,14,7,58,0
1230,44,44,S,Fernando,X2,lshd,l,shd,0,27.5,13,9,86,7,29,14,9,49,6
1231,44,44,E,Fernando,X2,lshd,l,shd,0,29,14,8,81,11,30,14,8,58,0
1232,44,44,W,Fernando,X2,lshd,l,shd,0,25,12,6,47,8,30,14,6,35,11
1233,45,45,N,Fernando,X3,lsun,l,sun,66,35,14,10,92,7,35,15,7,53,3
1234,45,45,S,Fernando,X3,lsun,l,sun,66,35,16,11,154,12,35,17,10,66,0
1235,45,45,E,Fernando,X3,lsun,l,sun,66,26,12,7,96,4,29,17,7,22,0
1236,45,45,W,Fernando,X3,lsun,l,sun,66,36,15,9,86,13,36.5,14,8,59,2
1237,46,46,N,Fernando,X3,lsun,l,sun,66,44,17,11,83,15,46,18,10,62,12
1238,46,46,S,Fernando,X3,lsun,l,sun,66,31,13,7,116,18,50,17,7,72,10
1239,46,46,E,Fernando,X3,lsun,l,sun,66,30.5,12,7,116,16,34,15,7,59,4
1240,46,46,W,Fernando,X3,lsun,l,sun,66,35,12,7,80,15,34.5,15,6,26,12
1241,47,47,N,Fernando,X3,lsun,l,sun,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242,47,47,S,Fernando,X3,lsun,l,sun,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243,47,47,E,Fernando,X3,lsun,l,sun,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,47,47,W,Fernando,X3,lsun,l,sun,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1245,48,48,N,Fernando,X3,lsun,l,sun,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246,48,48,S,Fernando,X3,lsun,l,sun,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1247,48,48,E,Fernando,X3,lsun,l,sun,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,48,48,W,Fernando,X3,lsun,l,sun,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1249,49,49,N,Fernando,X3,lsun,l,sun,66,37,16,11,110,10,36.5,16,11,62,0
1250,49,49,S,Fernando,X3,lsun,l,sun,66,38,15,10,130,18,38,16,10,69,2
1251,49,49,E,Fernando,X3,lsun,l,sun,66,34.5,14,9,95,13,35,16,8,37,5
1252,49,49,W,Fernando,X3,lsun,l,sun,66,31.5,14,9,105,10,31,14,9,66,0
1253,50,50,N,Fernando,X3,lsun,l,sun,0,30,10,3,34,12,31,10,3,23,7
1254,50,50,S,Fernando,X3,lsun,l,sun,0,20.5,7,1,7,13,44,14,1,6,22
1255,50,50,E,Fernando,X3,lsun,l,sun,0,35,11,6,45,11,44,15,7,39,13
1256,50,50,W,Fernando,X3,lsun,l,sun,0,30,11,4,6,13,50,17,2,2,17
1257,51,51,N,Fernando,X3,lsun,l,sun,0,39,13,6,29,10,55,19,6,27,15
1258,51,51,S,Fernando,X3,lsun,l,sun,0,36,13,6,28,9,43,14,6,22,13
1259,51,51,E,Fernando,X3,lsun,l,sun,0,44,16,9,56,12,50,21,9,37,19
1260,51,51,W,Fernando,X3,lsun,l,sun,0,38,12,6,41,11,50,17,7,35,16
1261,52,52,N,Fernando,X3,lsun,l,sun,33,34,13,7,46,12,43.5,17,7,56,16
1262,52,52,S,Fernando,X3,lsun,l,sun,33,38,14,9,59,17,48,19,9,76,20
1263,52,52,E,Fernando,X3,lsun,l,sun,33,28,11,6,48,11,46,14,6,37,14
1264,52,52,W,Fernando,X3,lsun,l,sun,33,31,12,6,44,14,42,18,6,27,14
1265,53,53,N,Fernando,X3,lsun,l,sun,66,35.5,12,6,NA,16,41,15,6,47,14
1266,53,53,S,Fernando,X3,lsun,l,sun,66,36,12,6,36,11,40,16,6,34,11
1267,53,53,E,Fernando,X3,lsun,l,sun,66,37,11,5,49,10,46,16,5,56,14
1268,53,53,W,Fernando,X3,lsun,l,sun,66,26.5,7,2,15,12,36,10,2,16,15
1269,54,54,N,Fernando,X3,lsun,l,sun,33,33,10,5,32,13,47,13,4,25,23
1270,54,54,S,Fernando,X3,lsun,l,sun,33,39.5,13,7,57,18,43.5,14,7,45,19
1271,54,54,E,Fernando,X3,lsun,l,sun,33,39,13,6,50,17,43,16,6,36,14
1272,54,54,W,Fernando,X3,lsun,l,sun,33,50,13,8,53,16,59,17,5,15,12
1273,55,55,N,Fernando,X3,lsun,l,sun,0,36.5,15,6,147,13,44,18,9,90,9
1274,55,55,S,Fernando,X3,lsun,l,sun,0,25,10,4,39,15,34.5,15,4,30,18
1275,55,55,E,Fernando,X3,lsun,l,sun,0,39.5,16,10,155,11,42,18,11,89,4
1276,55,55,W,Fernando,X3,lsun,l,sun,0,21,8,3,13,16,28,12,3,12,17
1277,56,56,N,Fernando,X3,lsun,l,sun,0,31,13,9,106,14,33,17,10,68,5
1278,56,56,S,Fernando,X3,lsun,l,sun,0,22,13,7,57,12,26,15,5,31,8
1279,56,56,E,Fernando,X3,lsun,l,sun,0,29,15,9,143,11,29,15,9,81,2
1280,56,56,W,Fernando,X3,lsun,l,sun,0,24,13,7,39,13,25,14,6,23,3
1281,57,57,N,Fernando,X3,lsun,l,sun,0,28,13,8,76,11,33,15,7,76,10
1282,57,57,S,Fernando,X3,lsun,l,sun,0,30,14,9,94,11,31,15,8,64,6
1283,57,57,E,Fernando,X3,lsun,l,sun,0,30.5,14,9,106,8,36,18,9,70,12
1284,57,57,W,Fernando,X3,lsun,l,sun,0,36,16,10,147,19,40,18,10,123,11
1285,58,58,N,Fernando,X3,lsun,l,sun,66,30,12,7,69,10,30,13,7,56,8
1286,58,58,S,Fernando,X3,lsun,l,sun,66,27.5,12,7,67,14,36,16,7,71,11
1287,58,58,E,Fernando,X3,lsun,l,sun,66,28,13,6,72,15,31,15,5,57,14
1288,58,58,W,Fernando,X3,lsun,l,sun,66,26.5,13,9,132,9,28,15,8,52,7
1289,59,59,N,Fernando,X3,lsun,l,sun,33,41,12,8,52,9,47,14,8,50,8
1290,59,59,S,Fernando,X3,lsun,l,sun,33,38,14,7,78,12,41,16,7,84,13
1291,59,59,E,Fernando,X3,lsun,l,sun,33,33,13,7,78,11,37,14,7,80,9
1292,59,59,W,Fernando,X3,lsun,l,sun,33,40,13,6,86,13,49,17,6,70,9
1293,60,60,N,Fernando,X3,lsun,l,sun,0,34,14,8,78,13,36.5,16,8,78,12
1294,60,60,S,Fernando,X3,lsun,l,sun,0,30,12,7,70,12,73.5,16,7,70,15
1295,60,60,E,Fernando,X3,lsun,l,sun,0,30.5,13,8,66,8,40,17,7,58,11
1296,60,60,W,Fernando,X3,lsun,l,sun,0,37,15,9,83,14,40,18,9,76,6
1297,61,61,N,Fernando,X3,lsun,l,sun,0,45,16,11,201,12,47.5,19,11,159,10
1298,61,61,S,Fernando,X3,lsun,l,sun,0,43.5,16,10,153,15,42,16,9,90,8
1299,61,61,E,Fernando,X3,lsun,l,sun,0,24.5,10,8,94,3,25,11,6,39,0
1300,61,61,W,Fernando,X3,lsun,l,sun,0,44.5,15,10,200,17,49,17,10,123,10
1301,62,62,N,Fernando,X3,lsun,l,sun,33,31.5,13,6,54,14,39,16,6,47,17
1302,62,62,S,Fernando,X3,lsun,l,sun,33,23,9,5,62,11,31,13,5,50,17
1303,62,62,E,Fernando,X3,lsun,l,sun,33,38,16,9,73,8,43,19,8,45,6
1304,62,62,W,Fernando,X3,lsun,l,sun,33,19,9,3,19,12,21,9,3,16,0
1305,63,63,N,Fernando,X3,lsun,l,sun,33,40,15,9,89,13,44,18,9,74,16
1306,63,63,S,Fernando,X3,lsun,l,sun,33,27,13,7,69,10,27,13,8,31,0
1307,63,63,E,Fernando,X3,lsun,l,sun,33,25,11,6,68,8,26.5,13,6,37,0
1308,63,63,W,Fernando,X3,lsun,l,sun,33,16.5,10,4,22,9,22,14,10,18,8
1309,64,64,N,Fernando,X3,lsun,l,sun,66,30,12,9,137,12,NA,NA,NA,NA,NA
1310,64,64,S,Fernando,X3,lsun,l,sun,66,40,15,10,101,11,45,19,6,26,8
1311,64,64,E,Fernando,X3,lsun,l,sun,66,38,14,11,216,NA,38,17,12,102,5
